MarketKey;platform;market_level1;market_level2;market_level3
04dc60dae08e7b6a259a35730985ddb910960551;truck & bus;on road;heavy commercial vehicles (> 16t);heavy vocational trucks (> 16t)
bdbfd5dd6ede7c8313d64cc1e384e47a6df36056;key market;construction equipment;earth & rock moving;mini excavator (2t < x <6t)
535714f02f28bfcc9b778d0640f9cd6e815a1333;basic market;military equipment;mobile equipment;other military mobile equipment
92aa0d41e1e1d2488243fbe501134470a864f10c;ssl & ctl;construction equipment;earth & rock moving;compact track loader ctl
a2b77a7e81b513dab989c4c0213f48be4a562a97;road machinery;construction equipment;compaction;trench compactor (2 drums)
13529b59b30ac16f1e355b4d2d8985053ac7d66b;basic market;mining & quarry;mine infrastructure;mining on rail locomotives
920cb286b48648e1e3860eeee9b5add2fd983ce9;undefined;marine;oil, gas & telecom (boats & offshore platforms);undefined
c9e26e837598b14a28e79b9447b690cbd6b064db;basic market;military equipment;mobile equipment;motorized floating bridge
cb0f94046a9dd113f04a3027c255d8676e67bfd2;sprayer & ag machines;agriculture;soil & crop treatment;sprayer (trailed)
649a5bfff560debace7eaa259314916916d15991;basic market;mining & quarry;bulk / mineral handling;cableway / ropeway
644811d842634a8a7b0e5103ee9d5f08eefa5b70;basic market;construction equipment;unknown segment;unknown application
a06e0963e28f2aeae46607401da0b89f5125614b;road machinery;construction equipment;compaction;walk behind compactor
312397725150c9e05fc3dd22057b1b81c62486dd;basic market;agriculture;forestry;tree stump remover head (attachment)
31e950e06aba8d221888af9f606d5852972417c8;key market;agriculture;livestock;cattle feeder mixer (self propelled)
88ec97f3ba4e07ce84aea3d8c79343fc7eb28d13;basic market;military equipment;mobile equipment;canon / gun machine
ce802bf28e60bc397d28eb5a89adeb7481e11437;basic market;environment;recycling;compost aerator (=windrow turner)
9b810ecf77ff2bd2a5acc011a69d720dfaf56b0a;undefined;industry;mixers, silos and centrifugal equipment;undefined
ff24bcb23c7199ec3f80d49a722979e12934377f;basic market;military equipment;unknown segment;unknown application
66cab617a00b266a9b4c10dba0bc93fa1a1357e0;basic market;agriculture;forestry;feller buncher head  (attachment)
717189aa5fe38ec79129766516d73cf41be30bad;industrial;mining & quarry;rock processing;mobile trommel screener
e47743ff461a5d0f34bd115ce07acd66960141f8;key market;agriculture;forestry;tree harvester head  (attachment)
fd51e7e8cc6095bf3384a547952b3b89cbf113bc;basic market;unknown market;unknown segment;unknown  application
345c6c2f1dc562a88e15c77a49408f27823c1c78;basic market;agriculture;tractors & trailers;tractor attachments
82f07b1462d7b437fe8a136fcc1a8fe5c6ebfdca;key market;environment;urban & turfcare;utility tracked vehicle
4ea491e7dab5bf417380738543ec77fbf88ccead;basic market;environment;snow;snow removal /  blower  (machine)
fd26410161c1d74fbba942077b9572d4b1643780;basic market;material handling;lifting;crane (fixed or mobile)
305929d7c4cdaee9d227dfb361d3640c28cd6db3;key market;material handling;airport handling;baggage tractors
6f856b6a6bb13f76aed675297a4101c44a2b55de;key market;agriculture;livestock;cattle feeder mixer (trailed)
6b32b5dd76ad773440a0e28ef6864d8988e15ad6;basic market;agriculture;forestry;tree stump remover (machine)
24d59da92e565e4672104cf7f682472d7f275712;basic market;construction equipment;road construction & maintenance;mobile feeder / material transfer vehicule
79de511c9da03d9a67f7a59bec19c898448bbc6b;sprayer & ag machines;agriculture;wine, fruit, vegetable & cane equipment;grape harvester (self propelled)
9e6acce915422d8f8351a6e4fdf68beb65aab2b0;basic market;material handling;harbour & port handling;self propelled boat trailer
bba19b7f3b45559508154063fef9fdba7bf78125;undefined;marine;fishing;undefined
f54823021ecc8f70d7b9e96a6fc04e054ad61786;key market;material handling;airport handling;passenger stepladder / belt loader
3e6b43950bd8da0a29f60689e1d4605d506b425a;basic market;environment;snow;snow groomer
8cc8e0fbc489e1a58b3a975196e82ef9b7a015a7;key market;agriculture;cereals, cotton, & feed/forage harvesting;mower conditionner - grass harvesters (trailed)
92dabb2f70cb4181b0090d95a7e067694008f7e7;ssl & ctl;construction equipment;earth & rock moving;mini ssl / ctl (stand-on)
d1c41d0a4bdeb5ceaa11bf2709a84a29fbda4ab6;basic market;on rail;lifting;special self propelled rail-mounted  machine ( (rail crane)
f3b209071f114dbd6307e25ae7778894e3d81160;undefined;agriculture;wine, fruit, vegetable & cane equipment;undefined
2e6813372f5c6e5e51043b8967b986a804e3cccb;undefined;construction equipment;earth & rock processing (drilling, tunelling, tren;undefined
4b691b2862c5a1ac9cc02325813e4d7921872389;undefined;material handling;harbour & port handling;undefined
9a2f725fb7a2bbe6c992312d8c35b60e742a5994;basic market;material handling;lifting;other material handling lifting equipment
9c7dae4101c7d1ed9a8d40ef184e6d21d708e94b;undefined;unknown market;unknown segment;undefined
d2c7a6e1d7d6a5080e0a31c45460b3d694087bfa;key market;mining & quarry;mine infrastructure;mining suspended locomotives
2fa13f1f28b042a879dd8182005cd735c86a86cd;basic market;environment;urban & turfcare;other environment urban & turfcare equipment
4777a3cce64e916e4f226a8ed8490e7f68a6f348;undefined;construction equipment;earth & rock processing (drilling, tunelling, tren;auger drives (attachment for excavator)
d56c8e01ed1f70cc5e9e6af1b8ab962349dff703;key market;environment;urban & turfcare;sweeper (self propelled)
fc5726f7b5bb6fa63ab0192d795d6066e5f2be55;basic market;construction equipment;earth & rock moving;other earth moving machines
3e7cbc8a9cf4ec3d9d370b6027294561c4505807;basic market;agriculture;tractors & trailers;crawler tractor
6fcacb402ff91b2f36b40f96d3ac83a23d66ea27;basic market;material handling;forklift;other material handling forklift equipment
88aa2732dc774a4fbc65014d5efe228a47db11f6;undefined;marine;unknown segment;undefined
da62d65cc66ca3b711c0bc930efd2000e09cb8b1;basic market;military equipment;mobile equipment;tank
ff732e32c4ebab06c18c2d2e0c5d3ebc8d03db82;industrial;industry;mixers, silos and centrifugal equipment;mobile mixer
522f7fc3972d656dd0aa7ede568028d133423cac;basic market;energy;power generation;other energy power generation equipment
54edb21c835f65bd74fc72a49c73cf69e4a39022;key market;material handling;heavy load handling;multi wheels carrier
9767f07df4da9db72548a1ac857a252534ca4453;basic market;material handling;harbour & port handling;mobile boat lift
b7691c6c22b1437c456f8f8816d92c3e724fd2b6;basic market;construction equipment;earth & rock processing (drilling, tunelling, tren;bucket screener, bucket crusher (attachment)
53e5c4a12bf88f08ddcb339da940701e70ac7eb7;undefined;on road;light commercial vehicles (3,5t < x <6t);undefined
6d37a6e051ccfece005cd2b2d239e31717456632;key market;construction equipment;earth & rock moving;compact mini loaders (<6t)
8adf9a032e98662b21e9eb5d9dddc23c997865d0;industrial;industry;mixers, silos and centrifugal equipment;other industry mixers, silos and centrifugal equipment
aba4ddd7a6193f1911046a43d3b4c9faa9f69fb2;basic market;agriculture;tractors & trailers;other tractor,  trailers, vehicles
28c28049ba72bcc347746d24a9eb0e386d77cab0;truck & bus;on road;trucks;
345b38d5b1698f6b1cd7f36a5b1a24afddef687f;basic market;agriculture;wine, fruit, vegetable & cane equipment;sugarcane transporter (self propelled)
446bcc9e89aa546be4fad8e39814a94c2245b492;undefined;agriculture;tractors & trailers;undefined
c608bc264470429dac710dc87c413df3a255b106;road machinery;construction equipment;compaction;compactor vibratory tandem
d07c033ec55cebf611f3da7242cda6fcc2434f2c;undefined;on rail;unloading;undefined
22cc6a640d6c6086cfd342a941ccebeee6cd2631;basic market;energy;oil, gas;pipe manipulator, pipe handling
26b88b80b0eb246b82e4490217fd92dec714711d;industrial;industry;manufacturing equipment;forge manipulator
42fa4be9521d25e495099a29cdc2fe8c799a469e;basic market;agriculture;wine, fruit, vegetable & cane equipment;sugarcane 3-wheeled loader’ (self propelled)
da9fb26d3858edb0651552b8504b8f08c4aa233c;basic market;construction equipment;earth & rock moving;scrapers (self propelled)
9e43cf4813ce80cbeb9f8c67294f1019518930b9;sprayer & ag machines;agriculture;wine, fruit, vegetable & cane equipment;straddle (over-the-row) fruit harvester (trailed) (olives, cherries, etc)
ec619294a4a4dc6225e084e6d8532b407bb6f17f;undefined;agriculture;cereals, cotton, & feed/forage harvesting;undefined
f8fe91434b554c6db1cc8de57877d35611f5691b;key market;on rail;railtrack infrastructure (construction or maintena;rail-converted construction equipment (ie : excavator on rail)
2de40ce52f1094434423b720b1b19283d3dc638c;basic market;marine;oil, gas & telecom (boats & offshore platforms);other oil, gas & telecom equipment  (boats & offshore platforms)
7a8f90db4e566fe533d2115805756bd595508439;key market;marine;oil, gas & telecom (boats & offshore platforms);winch drive - offshore  (anchor, cable tensioning, mooring..)
9cad23078c42ece2488bfac50db057047f5938a8;basic market;leisure;stationary amusement;merry-go-round, roller-coaster, great wheel
4af901ee3bee23f306f2d11902461717ae05184d;basic market;construction equipment;road construction & maintenance;other road construction & maintenance
dc5b8861370f222816d29dabf3a5c58eded117ab;undefined;material handling;continous handling;undefined
e4cf037fe2bd3e46b3fafcf1b7e56df39d0924ca;basic market;on rail;locomotives;locomotives ( industrial, handling, shunting, ...)
f870c6df7ca47ea3054e39deb8b4dd2af89b7f3b;undefined;mining & quarry;rock processing;undefined
0b45111adcf20d4855e59ac4bf9e828a33cf2264;basic market;construction equipment;earth & rock moving;backhoe loaders
12e95d1ab6496686e505c0f7ea4064f095f08646;key market;agriculture;cereals, cotton, & feed/forage harvesting;mower conditionner - grass harvesters (self propelled)
63b1a77184053a568b1cc0191fd56cc56445bf85;undefined;material handling;undefined;undefined
c3ee13752f322bf8dd4c50704b59dc61ba5a6e33;key market;agriculture;forestry;tree harvester  (machine)
242169eedfabc4c517b0fe118cb7a4d7555596ce;basic market;environment;urban & turfcare;sweeper (attachment)
64dee5543c382d2051b10b06600f554e8fa07b77;basic market;material handling;continous handling;mobile conveyor
7b1a368246aa25d40b34281e444cccc8a8001e87;road machinery;construction equipment;road construction & maintenance;asphalt pavers
a9bdb25b31e11dcd2c7722130df06cd8a18fb4b8;truck & bus;on road;heavy commercial vehicles (> 16t);other heavy trucks (> 16t)
01333c61fd2434c3378902fee5e9f044afe3be79;key market;construction equipment;earth & rock moving;site dumpers (<6t)
33172904d07c575da2f302fdf1c5723b83e71d71;truck & bus;on road;passenger car vehicles (< 3.5t);passenger cars (<3.5t) - rear or front driven
a475ef58f998f9d87f86afe587e44a88e2a86e15;basic market;construction equipment;earth & rock moving;dumpers (>6t)
bc39dc60a6a4db887c49e90d5291ef29bc1d94ef;basic market;agriculture;forestry;aerial cableway
263d432c7a664bd43ae2a80f50deaf72f303460f;basic market;military equipment;mobile equipment;mine clearance/removal machine
4377ce977f625948fa760c3d7a3279c0454b3024;basic market;energy;oil, gas;other oil, gas equipment
91d0733f8085add68c9a0c0d4f6e119dfe67eae4;key market;construction equipment;earth & rock moving;micro excavator (<2t)
c03e32bc6f0bb940e9a4ba87078ef7e85699c55e;industrial;industry;manufacturing equipment;screw feed / screw conveyor
1cb9c7e80154ded65ee60907227e1f7dfaf7f9aa;industrial;mining & quarry;bulk / mineral handling;conveyor for underground mining
28d2b8b8ac6f4028b9f007e437370abff2eaeb93;basic market;construction equipment;earth & rock processing (drilling, tunelling, tren;rotating attachment - rotator 360° (attachment)
bebaa836f8dc15615754e616fbba9d05e768633c;key market;mining & quarry;ore extraction;continuous miner / roadheader (room & pilar mining)
3d25e51ae11267d1ada758d138702d3fed0a4fb3;basic market;material handling;unknown segment;unknown application
3f284a18ef3d0503e7dceb61c1feab4dc17f6620;truck & bus;on road;trailer - on road;on road trailer - self propelled modular trailer
cd92b421b3b9812738cd47276331df09752b30ed;key market;agriculture;wine, fruit, vegetable & cane equipment;vegetable harvester (self propelled)  (potato, sugar beet, …)
00ea896af72291c743b039f201bbf1797fb63650;basic market;leisure;mobile amusement;train for sightseeing
208b05b23f786c9131104428155a6b7d20a6841e;undefined;agriculture;livestock;undefined
ca17ac206b62a205d92eb23e65b2255c1401e226;basic market;environment;snow;ice skating surfacing machine
ca681b65e760ffceab03e000ed03f17770cb347a;basic market;leisure;other amusement;other leasure amusement equipment
1175a0b22c1078b08c1ed692a89764f8fcd94a87;basic market;on rail;railtrack infrastructure (construction or maintena;portable tools  (rail saw, rail grinder)
4e019656f736f67df221fc81c4986366840f1d34;basic market;marine;oil, gas & telecom (boats & offshore platforms);capstan , windlasses, cabestan
c060114014d8b7b391fde9f30285f7d615dca7c7;basic market;energy;power generation;gas turbine generator
0b7c3968247d690809242a04a918904521444774;undefined;environment;recycling;undefined
c4f54f83d396bb3c7764950b752b4b2adfac915c;basic market;construction equipment;earth & rock processing (drilling, tunelling, tren;other earth & rock processing (machine & attachment)
dc24da0a0694e51d769228a6cdf037f6bcf77d06;undefined;construction equipment;road construction & maintenance;undefined
62e69ec822f633abcb685045c29dd9691eefdf01;basic market;material handling;airport handling;other airport handling equipment
d8881d78e1f40d55a36c364e87e710475deb0615;industrial;construction equipment;earth & rock processing (drilling, tunelling, tren;tunnel boring machine (=tbm)
f6596d12d6e74584164619317c3ee6982f7a046a;basic market;construction equipment;concrete;concrete pavers
23415cb6245326b0712fad2248ebac91ae540d52;basic market;construction equipment;road construction & maintenance;asphalt & chips spreader (self propelled)
54017066ecbc9a811a170430dc1b53ac4f5150c4;undefined;military equipment;mobile equipment;undefined
57283fd104b5abdeabb67a9fa0b90c673193f47f;road machinery;construction equipment;compaction;tyre rollers compactor
46da6b1fd4173db42854b9cd97d17977346dafb5;basic market;mining & quarry;bulk / mineral handling;dumper/ haulage mining truck / ore transporter
b6b7a719c19522ef5e0199b91b8e75f4d7e74ec9;undefined;environment;snow;undefined
be8dd63917a4cbb9464c0de3ce74fab203b64f72;key market;agriculture;wine, fruit, vegetable & cane equipment;sugarcane harvester (self propelled)
436713b4ffcb9752e3da9d50dd52ba9c37e4e7b0;basic market;marine;oil, gas & telecom (boats & offshore platforms);mud agitator
adbdac51ffd5c184d2468d8d5448a86e37ca4d02;basic market;marine;dredging;dredger
c62bee01ed6aab83ea9903fb2819b1e87bac7409;basic market;agriculture;forestry;other forestry  equipment (knuckleboom loaders , edger, debarker, forestry winch
94f83fb0bd76d9bcfaefbcfd1a6b7f86d23bb0a3;basic market;marine;fishing;deck machinery (crane, windlasses, capstans)
ae2e7513aaa74add124c7b31ec0435a1443054f5;industrial;environment;recycling;fixed shredder
af1d8ec86678d6c59bd6039becb6d27995e486f5;combine harvesters;agriculture;cereals, cotton, & feed/forage harvesting;forage harvester (self propelled)
48558faff83a0ad670ec1a5ce4653f3914031465;sprayer & ag machines;agriculture;soil & crop treatment;sprayer (self propelled)
590e41884f17f4fd0fef1589158bf13842773d11;industrial;industry;mixers, silos and centrifugal equipment;asphalt  mixer plant
6e937e166fe2a5dbf7ffd51b59696a4f03ff5acb;basic market;mining & quarry;unknown segment;unknown application
5e031b5515fc6efb17a04c6e1138be441cf637c2;industrial;mining & quarry;rock processing;other mining & quarry rock processing equipment
66335b13b3b44d0e878c8903b2afdbfe6ae799e9;undefined;mining & quarry;bulk / mineral handling;undefined
aa157ffc0aa417f05521fd9bc37b571c3698ec8a;key market;agriculture;tractors & trailers;multipurpose tools carrier
6c6427e046d034be6450bb4c6beed91dd3552b79;undefined;leisure;other amusement;undefined
a70fe847efd6aa1933667a55d93982b3a2b6ec02;key market;mining & quarry;bulk / mineral handling;loader for underground mining (lhd)
df813c0e8d2617344250552f6e8bcba56dd9862e;road machinery;construction equipment;compaction;static drum self propelled compactor
4d47c08ebbda77b479169a3cd4a9386c0da2fb32;key market;agriculture;forestry;forestry trailer
a9071b9e54faba36db88122b2e05bb68e6b5e3ad;key market;agriculture;tractors & trailers;4 wheels tractor
d41973cd06c56c8a84d1b3748750ac82291c2a47;basic market;material handling;harbour & port handling;other harbour & port handling equipment (cranes)
177c6033db7d45b88b8e4bbac5de11aaac9b789b;key market;material handling;lifting;aerial work platforms / scissor lift
21a8d2db1167fc9f3780439f8e8ae02c0d79406b;basic market;agriculture;forestry;rotor & grapple  (attachment)
e765707d2aae63e4c927145ac0b8a36b5e6b7810;basic market;marine;other marine equipment;other marine equipment
4a8bfecf980e8ba4a1be786a71a49c1974b5ca43;basic market;mining & quarry;bulk / mineral handling;other bulk / mineral handling equipment
96a258c6e547090353b38e5d477e2f313723fcba;basic market;environment;recycling;other recycling / refuse equipment
f15e22636fc9df84debc1734019cf50df64b1f5d;undefined;agriculture;forestry;undefined
